name_content,org_title,last_eps,year,category,actors,emberUrlFull,serverstr,pathcode,note,img,from,src
Tình Yêu Tuổi Xế Chiều – Love Never Ends,,CAM,Năm: 2023,"Thể loại: PHIM BOM TẤN - CHIẾU RẠP, Phim Lẻ, Phim Lẻ Mới, Phim Tâm Lý",Quốc gia:Trung Quốc,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=7kutED9lU, Server #HYDRAX ,tinh-yeu-tuoi-xe-chieu-love-never-ends-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64ab7b00dc798.jpg,https://phimgihd.net/tinh-yeu-tuoi-xe-chieu-love-never-ends/,phimgihd
Đứng Lên – Tayuan,,HD,Năm: 2023,"Thể loại: Phim Lẻ, Phim Lẻ Mới, Phim Tâm Lý",Quốc gia:Philippines,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=XnEMmoddA, Server #HYDRAX ,dung-len-tayuan-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64ab7ab7e0dab.jpg,https://phimgihd.net/dung-len-tayuan/,phimgihd
Siêu Nhân Cuồng Phong 2023 Kỷ Niệm 20 Năm Ra Mắt – Ninppu Sentai Hurricaneger De Gozaru! Shushuuto 20th Anniversary,,HD,Năm: 2023,"Thể loại: PHIM BOM TẤN - CHIẾU RẠP, Phim Hành Động, Phim Lẻ, Phim Lẻ Mới, Phim Viễn Tưởng",Quốc gia:Nhật Bản,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=Z5AvuQFlK, Server #HYDRAX ,sieu-nhan-cuong-phong-2023-ky-niem-20-nam-ra-mat-ninppu-sentai-hurricaneger-de-gozaru-shushuuto-20th-anniversary-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64ab7a711d3b4.jpg,https://phimgihd.net/sieu-nhan-cuong-phong-2023-ky-niem-20-nam-ra-mat-ninppu-sentai-hurricaneger-de-gozaru-shushuuto-20th-anniversary/,phimgihd
Nhà Nghỉ Xương Nhỏ – Little Bone Lodge,,HD,Năm: 2023,"Thể loại: Phim Hình Sự, Phim Hồi Hộp-Gây Cấn, Phim Kinh Dị, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=335spQKkf, Server #HYDRAX ,nha-nghi-xuong-nho-little-bone-lodge-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64ab7a27be272.jpg,https://phimgihd.net/nha-nghi-xuong-nho-little-bone-lodge/,phimgihd
Nhìn Lẻ Một – A Thousand And One,,HD,Năm: 2023,"Thể loại: Phim Hình Sự, Phim Lẻ, Phim Lẻ Mới, Phim Tâm Lý",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=kasxLlgCf, Server #HYDRAX ,nhin-le-mot-a-thousand-and-one-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64ab79e2b5893.png,https://phimgihd.net/nhin-le-mot-a-thousand-and-one/,phimgihd
Định Mệnh: Lời Thì Thầm Của Bình Minh – Fate/strange Fake: Whispers of Dawn,,HD,Năm: 2023,"Thể loại: Phim Hoạt Hình, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Nhật Bản,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=sl1qco-ic, Server #HYDRAX ,dinh-menh-loi-thi-tham-cua-binh-minh-fate-strange-fake-whispers-of-dawn-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64aa92f9383b8.jpg,https://phimgihd.net/dinh-menh-loi-thi-tham-cua-binh-minh-fate-strange-fake-whispers-of-dawn/,phimgihd
Tình Báo – Confidential Informant,,HD,Năm: 2023,"Thể loại: Phim Hình Sự, Phim Hồi Hộp-Gây Cấn, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=NquXOP51z, Server #HYDRAX ,tinh-bao-confidential-informant-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64aa925dcf456.jpg,https://phimgihd.net/tinh-bao-confidential-informant/,phimgihd
Khi Nhà Vợ Làm Tội Phạm – The Out-Laws,,HD,Năm: 2023,"Thể loại: PHIM BOM TẤN - CHIẾU RẠP, Phim Hài Hước, Phim Hành Động, Phim Hình Sự, Phim Lẻ, Phim Lẻ Mới, Phim Netflix",Quốc gia:Mỹ,, Server #HYDRAX ,khi-nha-vo-lam-toi-pham-the-out-laws-tap-1-server-1,'NoneType' object has no attribute 'attrs',http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64aa921404183.jpg,https://phimgihd.net/khi-nha-vo-lam-toi-pham-the-out-laws/,phimgihd
Người Khởi Xướng – The Initiated,,,Năm: 2023,"Thể loại: Phim Hình Sự, Phim Hồi Hộp-Gây Cấn, Phim Lẻ, Phim Lẻ Mới, Phim Tâm Lý",Quốc gia:Tây Ban Nha,, Server #HYDRAX ,nguoi-khoi-xuong-the-initiated-tap-1-server-1,'NoneType' object has no attribute 'attrs',http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64aa91bf7a35f.jpg,https://phimgihd.net/nguoi-khoi-xuong-the-initiated/,phimgihd
Nữ Anh Hùng – Sheroes,,HD,Năm: 2023,"Thể loại: Phim Hành Động, Phim Lẻ, Phim Lẻ Mới, Phim Phiêu Lưu",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=p9hD7xKR8, Server #HYDRAX ,nu-anh-hung-sheroes-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64aa90a7833cf.jpg,https://phimgihd.net/nu-anh-hung-sheroes/,phimgihd
